rank,domain,health_score
766,relate.org.uk,0.990
767,drhyman.com,0.982
768,endomondo.com,0.931
769,nct.org.uk,0.886
770,thensf.org,0.957
771,patientviewer.com,0.888
772,ummhealth.org,0.988
773,cruse.org.uk,0.958
774,alabamapublichealth.gov,0.972
775,bad.org.uk,0.969
776,keckmedicine.org,0.999
777,bodymatter.io,0.968
778,trumprx.gov,0.929
779,tryledisa.com,0.976
780,wisesavings.com,0.999
781,spring.org.uk,0.998
782,happiestbaby.com,0.914
783,pdr.net,0.862
784,fmcna.com,0.968
785,healthhub.sg,0.998
786,videahealth.io,0.860
787,skinsafeproducts.com,0.980
788,eyewearlabs.com,0.971
789,springerpub.com,0.953
790,sova.health,0.994
791,upmc.edu,0.999
792,ncqa.org,0.877
793,nutrition.org.uk,0.987
794,exactsciences.com,0.989
795,chirotouch.com,0.931
796,bookimed.com,1.000
797,hydromassage.com,0.959
798,virtahealth.com,0.962
799,weillcornell.org,0.971
800,psychplus.com,1.000
801,mom.com,0.955
802,massageenvy.com,0.999
803,papyrus-uk.org,0.894
804,fepblue.org,0.983
805,ccmdd.org.za,0.866
806,hevyapp.com,0.863
807,authoritynutrition.com,1.000
808,pilates-k.jp,0.884
809,invisalign.net,1.000
810,ert.com,0.996
811,vsee.com,0.925
812,kidneyfund.org,0.998
813,herculeshealth.co.nz,0.879
814,sleepwatchapp.com,0.958
815,cfah.org,0.977
816,sportingbounce.com,0.957
817,cbdfx.com,0.885
818,nmhealth.org,0.997
819,teamhealth.com,0.897
820,kidshelpphone.ca,0.955
821,sciencemission.com,0.949
822,medibuddy.in,0.929
823,benchchem.com,0.978
824,dentalhealth.org,1.000
825,multibriefs.com,0.852
826,sjm.com,0.981
827,tigerconnect.com,0.947
828,stormontvail.org,1.000
829,alzheimersresearchuk.org,0.959
830,4life.com,0.906
831,openpsychometrics.org,0.959
832,sleep.org,0.963
833,therapeuticresearch.com,0.975
834,ftroll.com,0.855
835,labsmartlis.com,0.958
836,muhs.edu.in,0.942
837,mychasma.com,0.896
838,naturaltein.in,0.904
839,pathcarelabs.com,0.872
840,developgoodhabits.com,0.898
841,functionhealth.com,1.000
842,rectanglehealth.com,0.859
843,shrinerschildrens.org,1.000
844,edwards.com,0.907
845,omnicell.com,0.931
846,wakemed.org,0.998
847,brookdale.com,0.865
848,ecuhealth.org,0.976
849,americanmigrainefoundation.org,0.986
850,recovery.com,0.990
851,premom.com,0.999
852,sermo.com,0.939
853,physitrack.com,0.993
854,allbeauty.com,0.986
855,dosedaily.co,0.993
856,smartpatient.eu,0.978
857,gethealthie.com,0.875
858,freeletics.com,0.975
859,pharmacist.com,0.992
860,ddx.dental,0.909
861,rugiet.com,0.998
862,goldsgym.com,0.899
863,allergywest.com.au,1.000
864,truthinitiative.org,0.989
865,therabody.com,0.889
866,findhealthguide.online,0.919
867,baptisthealth.com,0.997
868,nghs.com,1.000
869,nutritionvalue.org,0.924
870,bausch.in,1.000
871,bausch.com.sg,0.991
872,bausch.co.nz,1.000
873,metropolisindia.com,0.987
874,e-majestic.com,0.857
875,brookstone.com,0.984
876,lovelyskin.com,0.923
877,boneandjoint.org.uk,0.883
878,bluemercury.com,0.942
879,colorescience.com,0.976
880,csp.org.uk,0.988
881,thepetlabco.com,0.922
882,foundationmedicine.com,0.958
883,beateatingdisorders.org.uk,0.941
884,umiamihealth.org,1.000
885,clarinsusa.com,0.974
886,osteoporosis.foundation,0.960
887,elizabetharden.com,0.986
888,bccdc.ca,0.898
889,joinmochi.com,0.999
890,cernerhealth.com,0.966
891,healthyseminars.com,0.995
892,eyemartexpress.com,0.939
893,enneagraminstitute.com,0.895
894,sprc.org,0.984
895,mainlinehealth.org,0.999
896,pharmerica.com,0.870
897,childrensmercy.org,0.998
898,breakingmuscle.com,0.950
899,sleepadvisor.org,0.868
900,vihelse.com,0.995
901,microbenotes.com,0.863
902,elekta.com,0.989
903,psychology.org,0.936
904,mhs.net,0.996
905,yeastgenome.org,0.855
906,testing.com,0.992
907,uchc.edu,0.972
908,swordhealth.com,0.972
909,renown.org,0.998
910,bcrf.org,0.962
911,shopflavcity.com,0.857
912,roswellpark.org,1.000
913,jwatch.org,0.995
914,visionexpress.com,0.996
915,oversoyed.com,0.953
916,mimi.io,0.923
917,oxefit.com,0.850
918,mhs.com,0.905
919,manual.co,0.999
920,alcoholchange.org.uk,0.946
921,mycarpe.com,0.963
922,iampsychiatry.uk,0.999
923,modento.io,0.901
924,blood.co.uk,0.907
925,aboutkidshealth.ca,0.992
926,saintfrancis.com,0.995
927,kidshelpline.com.au,0.964
928,scriptpro.com,0.906
929,eightsleep.com,0.961
930,lecturio.com,0.991
931,bcmj.org,0.897
932,bonehealthandosteoporosis.org,0.995
933,glpwinner.com,0.991
934,legionathletics.com,0.911
935,nof.org,0.995
936,pregnancybirthbaby.org.au,0.996
937,fridayplans.com,0.991
938,acumenmd.com,0.868
939,molekule.com,0.879
940,recovered.org,0.966
941,alcohol.org,0.986
942,anara.com,0.922
943,ancientherbs.biz,0.925
944,empr.com,0.999
945,whatclinic.com,1.000
946,pocketprep.com,0.980
947,clinicalgenome.org,0.904
948,kennedykrieger.org,0.978
949,ascopost.com,0.999
950,clubpilates.com,0.937
951,hellowisp.com,1.000
952,stelizabeth.com,0.995
953,fitnessvolt.com,0.954
954,joinsequence.com,0.999
955,pathapplication.com,0.991
956,dermalogica.com,0.978
957,evolutionofsmooth.com,0.926
958,bavida.com,0.891
959,marshfieldclinic.org,0.990
960,ascrs.org,0.960
961,obtainhigh.com,0.924
962,csl.com,0.881
963,nemours.org,0.999
964,visitingangels.com,0.964
965,crest.com,0.987
966,medisafe.com,0.968
967,chriskresser.com,0.989
968,tmcaz.com,0.999
969,clinicallabs.com.au,0.995
970,hologic.com,0.911
971,enhanceyourlife.mom,0.972
972,abmp.com,0.926
973,leafhome.com,0.856
974,dailyom.com,0.999
975,cda-adc.ca,0.961
976,widex.com,0.985
977,manmatters.com,0.976
978,blood.ca,0.895
979,axahealth.co.uk,0.944
980,nurx.com,1.000
981,medel.com,0.990
982,wrshealth.com,0.991
983,nativepath.com,0.999
984,cancercare.org,0.995
985,rcpch.ac.uk,0.997
986,buoyhealth.com,1.000
987,onechartpatient.com,0.882
988,bdadyslexia.org.uk,0.855
989,nubestskin.com,0.983
990,fluoridealert.org,0.901
991,nimml.org,0.952
992,hazeldenbettyford.org,0.984
993,maryruthorganics.com,0.977
994,wikidoc.org,0.997
995,issaonline.com,0.925
996,wachanga.com,0.886
997,vumedi.com,0.999
998,iampsychiatry.com,1.000
999,versanthealth.com,0.900
1000,sysmex-europe.com,0.941
