rank,domain,health_score,initial_list_row
354,uvahealth.com,0.989,79958
355,exactsciences.com,0.989,100961
356,truthinitiative.org,0.989,107262
357,elekta.com,0.989,112176
358,chriskresser.com,0.989,122374
359,betterhelp.com,0.988,6156
360,radiologyinfo.org,0.988,51868
361,betterhelp.co.il,0.988,64063
362,glassesdirect.co.uk,0.988,69910
363,laverty.com.au,0.988,73242
364,betterhelp.com.au,0.988,73786
365,ummhealth.org,0.988,98788
366,csp.org.uk,0.988,108948
367,cancer.gov,0.987,2990
368,texaschildrens.org,0.987,40485
369,111.nhs.uk,0.987,41382
370,sicat.com,0.987,48095
371,beachbodyondemand.com,0.987,55857
372,texashealth.org,0.987,56623
373,unimealplan.com,0.987,59348
374,directmeds.com,0.987,67580
375,plumgoodness.com,0.987,72396
376,davisadvantage.com,0.987,77710
377,nutrition.org.uk,0.987,100935
378,metropolisindia.com,0.987,108296
379,crest.com,0.987,122088
380,owhealth.com,0.986,4498
381,flo.health,0.986,23724
382,thorne.com,0.986,34039
383,growtherapy.com,0.986,40131
384,neuralink.com,0.986,48261
385,celsius.com,0.986,83450
386,lifewave.com,0.986,97281
387,americanmigrainefoundation.org,0.986,106063
388,allbeauty.com,0.986,106381
389,elizabetharden.com,0.986,109897
390,alcohol.org,0.986,119073
391,fullscript.com,0.985,40164
392,swansonvitamins.com,0.985,45997
393,innovist.com,0.985,49797
394,tayyarijeetki.in,0.985,85547
395,widex.com,0.985,123256
396,clevelandclinic.org,0.984,1860
397,studentdoctor.net,0.984,45685
398,em-consulte.com,0.984,66285
399,oralb.com,0.984,74287
400,saeedghani.pk,0.984,83598
401,ccf.org,0.984,86737
402,ayuvya.com,0.984,89134
403,bcbsal.org,0.984,97934
404,brookstone.com,0.984,108581
405,sprc.org,0.984,111235
406,hazeldenbettyford.org,0.984,125031
407,thriveglobal.com,0.983,20519
408,yalemedicine.org,0.983,25621
409,theliven.com,0.983,34464
410,smokefree.gov,0.983,53600
411,nmdp.org,0.983,54878
412,reachout.com,0.983,66685
413,kits.ca,0.983,68939
414,talktofrank.com,0.983,83374
415,minimed.com,0.983,86457
416,fepblue.org,0.983,101529
417,nubestskin.com,0.983,124719
418,988lifeline.org,0.982,10766
419,suicidepreventionlifeline.org,0.982,16054
420,halaxy.com,0.982,24219
421,ozempic.com,0.982,58386
422,vivian.com,0.982,68829
423,hingehealth.com,0.982,75146
424,aqualogica.in,0.982,83798
425,familynes.in,0.982,90255
426,newamc.com,0.982,91647
427,drhyman.com,0.982,98298
428,sparkpeople.com,0.981,51318
429,freseniusmedicalcare.com,0.981,80704
430,thedeconstruct.in,0.981,85068
431,sjm.com,0.981,104249
432,draxe.com,0.980,21989
433,psypost.org,0.980,25041
434,understood.org,0.980,27659
435,diabetes.org.uk,0.980,29712
436,medshop24h.top,0.980,32244
437,mouthhealthy.org,0.980,41633
438,chestnet.org,0.980,43510
439,mychart.org,0.980,57400
440,mda.org,0.980,59723
441,hackensackmeridianhealth.org,0.980,60638
442,thedermaco.com,0.980,82734
443,pesi.com,0.980,86814
444,skinsafeproducts.com,0.980,100266
445,pocketprep.com,0.980,119721
446,dotandkey.com,0.979,25808
447,breastcancernow.org,0.979,67263
448,novantmychart.org,0.979,77069
449,wibbi.com,0.979,77351
450,r12imob.store,0.979,77811
451,templehealth.org,0.979,85404
452,drorthooil.com,0.979,92268
453,bangkokhospital.com,0.979,95698
454,health.gov,0.978,10796
455,mercola.com,0.978,14476
456,cvshealth.com,0.978,14876
457,discoverpilgrim.com,0.978,17340
458,clicks.co.za,0.978,18819
459,leap.app,0.978,20792
460,plasticsurgery.org,0.978,23821
461,caremark.com,0.978,26089
462,parkinson.org,0.978,38473
463,unitypoint.org,0.978,55724
464,iocdf.org,0.978,73172
465,medicaldialogues.in,0.978,75899
466,best.me,0.978,86569
467,heartfoundation.org.au,0.978,89771
468,pancan.org,0.978,94909
469,benchchem.com,0.978,103884
470,smartpatient.eu,0.978,106584
471,kennedykrieger.org,0.978,119887
472,dermalogica.com,0.978,121104
473,plannedparenthood.org,0.977,12373
474,simplypsychology.org,0.977,14122
475,epic.com,0.977,18074
476,adventhealth.com,0.977,25155
477,hcahealthcare.com,0.977,47585
478,sanfordhealth.org,0.977,54335
479,medanta.org,0.977,59634
480,cfah.org,0.977,102411
481,maryruthorganics.com,0.977,125132
482,bodi.com,0.976,40955
483,hiv.gov,0.976,41899
484,wakehealth.edu,0.976,48593
485,well.ca,0.976,50389
486,honorhealth.com,0.976,52029
487,owndays.com,0.976,63689
488,honest.com,0.976,64570
489,beachbody.com,0.976,65437
490,adf.org.au,0.976,82054
491,vilvahstore.com,0.976,89307
492,tryledisa.com,0.976,99805
493,ecuhealth.org,0.976,106041
494,colorescience.com,0.976,108924
495,manmatters.com,0.976,123357
496,alz.org,0.975,6801
497,mindbodygreen.com,0.975,11148
498,aaaai.org,0.975,30768
499,intuitive.com,0.975,46896
500,downdogapp.com,0.975,82664
501,therapeuticresearch.com,0.975,104485
502,freeletics.com,0.975,106716
503,shiseido.com,0.974,48382
504,healthapplines.com,0.974,61603
505,nutrium.com,0.974,72947
506,highfy.pk,0.974,83948
507,drsheths.com,0.974,85381
508,clarinsusa.com,0.974,109769
509,england.nhs.uk,0.973,13037
510,genengnews.com,0.973,35107
511,jillianmichaels.com,0.973,58699
512,optimantra.com,0.973,62238
513,empatica.com,0.973,72725
514,bebodywise.com,0.973,74304
515,droracle.ai,0.973,79961
516,go-optic.com,0.972,37412
517,cincinnatichildrens.org,0.972,39837
518,fentybeauty.com,0.972,41294
519,osfmychart.org,0.972,78860
520,mental-impulse.com,0.972,79586
521,alabamapublichealth.gov,0.972,98976
522,uchc.edu,0.972,112467
523,swordhealth.com,0.972,112516
524,enhanceyourlife.mom,0.972,122529
525,pddrc.in,0.971,27170
526,muscleandstrength.com,0.971,34091
527,deltadental.com,0.971,42957
528,acsh.org,0.971,56455
529,eyewearlabs.com,0.971,100294
530,weillcornell.org,0.971,101229
531,ottai.com,0.970,23186
532,tevapharm.com,0.970,23835
533,invisalign.com.cn,0.970,49264
534,tandemdiabetes.com,0.969,57552
535,disabled-world.com,0.969,94403
536,bad.org.uk,0.969,99417
537,webpt.com,0.968,6903
538,uwhealth.org,0.968,34475
539,drfirst.com,0.968,48591
540,bodymatter.io,0.968,99460
541,fmcna.com,0.968,100061
542,medisafe.com,0.968,122146
543,acc.org,0.967,20591
544,apollo247.com,0.967,43303
545,hyugalife.com,0.967,80763
546,nice.org.uk,0.966,9758
547,beautylisher.com,0.966,29343
548,gosh.nhs.uk,0.966,74011
549,cernerhealth.com,0.966,110405
